text,category,priority
"Hi, I want to cancel my subscription and get a refund for this billing cycle. Appreciate the help.",billing,medium
Notifications aren't showing up even though they're enabled in settings. Appreciate the help.,technical,low
"Hello, Can you add the ability to export data to Excel, not just CSV? Let me know.",feature_request,low
Requesting support for multi-language interfaces.,feature_request,low
Quick question - I need to transfer account ownership to a colleague. Let me know.,account,medium
"Quick question - My invoice shows the wrong amount, can you correct it? Let me know.",billing,medium
"Quick question - I'm considering your product, can you tell me more about the enterprise plan? Appreciate the help.",general_inquiry,low
Quick question - I want to cancel my subscription and get a refund for this billing cycle. Appreciate the help.,billing,medium
"Hello, Can you add the ability to export data to Excel, not just CSV? Please advise.",feature_request,low
"Hi, Requesting support for multi-language interfaces. Thanks.",feature_request,low
"To whom it may concern, The export to PDF feature produces a corrupted file every time. Thanks.",technical,medium
"Hi, What regions do you currently support for data hosting? Appreciate the help.",general_inquiry,low
Quick question - Please add single sign-on (SSO) support for enterprise customers. Let me know.,feature_request,medium
"Hi team, Two-factor authentication isn't sending me codes, I can't get in. Thanks.",account,high
"Hi team, Notifications aren't showing up even though they're enabled in settings.",technical,low
Quick question - It would help to have customizable dashboard widgets. Appreciate the help.,feature_request,low
"Hello, Requesting support for multi-language interfaces. Thanks.",feature_request,low
Quick question - Please consider adding integration with Slack for notifications. Appreciate the help.,feature_request,low
"Hi team, Please update the company name listed on my account profile. Let me know.",account,low
"Hi, Is there a mobile app available for iOS? Let me know.",general_inquiry,low
"My account was suspended without explanation, I need this resolved urgently. Thanks.",account,urgent
"Hello, Can I get a demo of the product before purchasing? Appreciate the help.",general_inquiry,low
"Hi, The mobile app keeps logging me out every few minutes. Please advise.",technical,medium
"Hello, Can you explain what this extra charge on my bill is for?",billing,low
"Hello, The export to PDF feature produces a corrupted file every time. Let me know.",technical,medium
"Hi team, I'm locked out of my account and need help verifying my identity. Please advise.",account,high
"Hi team, How do I update my credit card on file? Appreciate the help.",billing,low
"To whom it may concern, I suspect someone else has accessed my account without permission. Please advise.",account,urgent
"URGENT: I was billed $500 instead of $50, this needs to be fixed immediately. Thanks.",billing,urgent
"Hi team, We'd love a bulk-edit feature for managing many records at once. Thanks.",feature_request,medium
I need to change the email address associated with my account. Let me know.,account,low
I need a receipt for my last three payments for tax purposes. Let me know.,billing,low
"Quick question - Can you add the ability to export data to Excel, not just CSV? Thanks.",feature_request,low
"Hi, How do I update my credit card on file? Please advise.",billing,low
"Hi, What regions do you currently support for data hosting? Thanks.",general_inquiry,low
The app crashes every time I try to upload a file larger than 10MB. Thanks.,technical,high
"Hi team, I'm locked out of my account and need help verifying my identity.",account,high
"Hello, Can you merge my two duplicate accounts into one? Appreciate the help.",account,medium
"To whom it may concern, What are your customer support hours? Let me know.",general_inquiry,low
Quick question - Can you explain what this extra charge on my bill is for? Let me know.,billing,low
Could you add keyboard shortcuts for common actions?,feature_request,low
"Hello, I want to delete my account and all associated data permanently. Appreciate the help.",account,medium
"To whom it may concern, Can I get a demo of the product before purchasing? Appreciate the help.",general_inquiry,low
"Hi, Please add single sign-on (SSO) support for enterprise customers. Please advise.",feature_request,medium
"Hello, Please consider adding integration with Slack for notifications.",feature_request,low
"Hello, Notifications aren't showing up even though they're enabled in settings. Appreciate the help.",technical,low
"Hi, It would help to have customizable dashboard widgets. Let me know.",feature_request,low
"Hi team, Adding an undo button would really help prevent accidental deletions.",feature_request,medium
It would help to have customizable dashboard widgets. Please advise.,feature_request,low
"Hello, What are your customer support hours? Please advise.",general_inquiry,low
"Hi, What's the difference between the pro and premium plans? Let me know.",general_inquiry,low
"To whom it may concern, Search results are not returning any results even for common queries. Thanks.",technical,high
"Hi team, I want to delete my account and all associated data permanently. Appreciate the help.",account,medium
"Hi team, Can you explain what this extra charge on my bill is for? Thanks.",billing,low
Quick question - It would be great if the app supported dark mode. Let me know.,feature_request,low
"Hi team, How do I add a new team member to my organization's account?",account,low
"Hi team, Could you add keyboard shortcuts for common actions?",feature_request,low
"Hi team, Can you explain what this extra charge on my bill is for? Let me know.",billing,low
"Hi team, We'd love a bulk-edit feature for managing many records at once. Appreciate the help.",feature_request,medium
Quick question - I need to change the email address associated with my account. Please advise.,account,low
"To whom it may concern, I need to change the email address associated with my account.",account,low
The export to PDF feature produces a corrupted file every time. Please advise.,technical,medium
"URGENT: I was billed $500 instead of $50, this needs to be fixed immediately. Appreciate the help.",billing,urgent
"Hi team, What's the difference between the pro and premium plans? Thanks.",general_inquiry,low
"Hi team, How do I add a new team member to my organization's account? Appreciate the help.",account,low
"Hi, I'm considering your product, can you tell me more about the enterprise plan? Let me know.",general_inquiry,low
"Hi team, I want to delete my account and all associated data permanently. Let me know.",account,medium
I suspect someone else has accessed my account without permission. Thanks.,account,urgent
"To whom it may concern, I want to delete my account and all associated data permanently. Let me know.",account,medium
The coupon code I used didn't apply the discount to my order. Appreciate the help.,billing,medium
"Hello, The dashboard is loading very slowly today, taking over 30 seconds. Thanks.",technical,medium
Do you have an affiliate or referral program? Thanks.,general_inquiry,low
"To whom it may concern, My payment failed but I was still charged, please investigate. Appreciate the help.",billing,high
"To whom it may concern, Is there a mobile app available for iOS? Appreciate the help.",general_inquiry,low
Quick question - I suspect someone else has accessed my account without permission. Let me know.,account,urgent
"To whom it may concern, Search results are not returning any results even for common queries.",technical,high
"Hello, The coupon code I used didn't apply the discount to my order. Let me know.",billing,medium
"Quick question - My payment failed but I was still charged, please investigate. Appreciate the help.",billing,high
"Quick question - I was charged twice for my subscription this month, please refund the duplicate charge. Thanks.",billing,high
"To whom it may concern, Please add single sign-on (SSO) support for enterprise customers. Thanks.",feature_request,medium
"Hi, I need to transfer account ownership to a colleague.",account,medium
"Hi team, Two-factor authentication isn't sending me codes, I can't get in. Appreciate the help.",account,high
"Hello, I'm getting a 500 error when I try to log in, this is blocking my whole team.",technical,urgent
"Quick question - I'm getting a 500 error when I try to log in, this is blocking my whole team. Appreciate the help.",technical,urgent
Search results are not returning any results even for common queries.,technical,high
"I'm considering your product, can you tell me more about the enterprise plan?",general_inquiry,low
Quick question - Can you explain what this extra charge on my bill is for?,billing,low
